RegionName,CountryName,State,City,PostalCode,WarehouseAddress,WarehouseName,EmployeeName,EmployeeEmail,EmployeePhone,EmployeeHireDate,EmployeeJobTitle,CategoryName,ProductName,ProductDescription,ProductStandardCost,Profit,ProductListPrice,CustomerName,CustomerAddress,CustomerCreditLimit,CustomerEmail,CustomerPhone,Status,OrderDate,OrderItemQuantity,PerUnitPrice,TotalItemQuantity,GpsProvider,BookingID,Market/Regular,BookingID_Date,vehicle_no,Origin_Location,Destination_Location,Org_lat_lon,Des_lat_lon,Data_Ping_time,Planned_ETA,Current_Location,DestinationLocation,actual_eta,Curr_lat,Curr_lon,ontime,delay,OriginLocation_Code,DestinationLocation_Code,trip_start_date,trip_end_date,TRANSPORTATION_DISTANCE_IN_KM,vehicleType,Minimum_kms_to_be_covered_in_a_day,Driver_Name,Driver_MobileNo,customerID,customerNameCode,supplierID,supplierNameCode,Material_Shipped,vehicleType_locations
Alaska,British Virgin Islands,AL,Lake Daniel,61616,"4894 Taylor Route Apt. 618
New Heather, MO 81559",Rodriguez-Franco,Tiffany Sutton,mitchellhunter@example.com,001-859-240-7313x30471,2023-02-22,"Surveyor, building",job,fund,Agent campaign nearly probably.,42.55,20.85,35.66,Martin Terrell,"657 James Squares
West Lisa, AZ 32205",1969.26,jamesgarcia@example.com,600-250-9325,Inactive,2024-05-21,5,73.82,45,Prince Ltd,41b1044e-c4a3-4e06-88c8-372b735e00ef,Market,2024-02-15,950-TFI,Joshuabury,Gordonport,"-73.0995695,-58.938164","82.434595,34.026929",2024-02-15 11:32:46.427821,2024-01-28 14:48:06.211224,Kellyland,New Michael,2024-05-23 09:25:24.089875,-71.7644935,-121.601120,False,38,38434,56090,2024-02-27,2024-02-04,63,Bike,34,Sabrina Hayes,702-503-9713,3fff88a5-1d50-4e11-8770-db5bee8c27c7,campaign,d286acba-292e-4f1e-ab72-856fd6a1124d,peace,would,Port Susanmouth
Missouri,Denmark,MT,Lake Raymond,02968,"975 Robert Spur
Cooleyside, DC 86897",Murray LLC,Lori Lawrence,james97@example.net,(830)976-3768x6591,2021-04-03,Actor,guess,simple,Phone sister important around Mr.,96.35,16.62,43.31,Sarah Arroyo,"83113 Williams Throughway Suite 152
Woodville, VT 48970",3011.41,michael42@example.com,(986)553-2577x480,Active,2024-03-15,2,91.61,52,Steele PLC,96c30dcb-3b54-497d-a2e3-2506632541af,Regular,2024-04-21,YAJ-782,North Amy,Port Brianmouth,"64.931602,-51.445546","-36.113857,-70.517062",2024-05-08 04:53:04.496808,2024-03-26 13:47:43.995385,West Ashley,Port Christopherborough,2024-06-02 11:23:01.781932,17.345651,-45.585425,False,78,12066,54849,2024-03-23,2024-05-29,228,Truck,79,Jessica Lin,878-578-9990x6939,b356fb8a-366a-493f-8276-9a94f1777d6d,anything,7b322e15-d725-44d6-9023-c2d890d58aeb,account,according,Thomasside
Wyoming,Uganda,SD,Lake Gary,94447,"8404 Sheila Mills Apt. 779
New Danielle, NY 72438",Parker-Murphy,Janice Hinton,erinbaker@example.net,2728237281,2023-07-09,Newspaper journalist,however,less,Happy different black look yourself little.,35.71,16.66,136.35,Kristen Salazar,"7832 Timothy Islands
Rodriguezton, ND 80395",3727.99,igutierrez@example.com,442-663-3042x3764,Active,2024-07-13,9,89.61,28,Bowman-Acosta,222377b0-d8c2-4582-97e2-4946c5e8a2a0,Regular,2024-03-16,6-85613I,New Daniel,Lake Jaredbury,"-24.111429,35.201475","-70.1889205,-160.380715",2024-05-09 22:33:53.571940,2024-05-02 20:06:33.003736,Brandonport,South Ashleyside,2024-06-06 21:56:30.644761,88.969767,150.598266,False,12,72303,58927,2024-07-14,2024-05-17,956,Bike,55,Melissa Hernandez,683-656-6181x6002,2303e654-f8d2-4f91-9b9f-c96808977395,let,2467a548-537b-421d-8887-553b1d268a5f,interest,operation,New Jacquelinemouth
Delaware,Western Sahara,VT,Marksborough,17574,"246 Johnson Branch Suite 412
East Desiree, FM 04373",Cruz Group,Jeffrey King,traceycarson@example.org,001-880-694-8772,2021-05-10,"Teacher, primary school",I,eight,Coach member church especially must control cut.,78.34,10.26,20.0,Donna Sellers,"1436 Richard Island
Taylorberg, WY 12494",4632.51,parkergerald@example.net,001-721-329-0679,Inactive,2024-01-15,3,28.87,94,"Thompson, Barr and Snow",46f94d0b-fd4c-4d6b-9d31-9105adb24489,Regular,2024-05-21,046464,South Jonathan,Ericton,"-60.704986,-18.970262","47.191292,59.508753",2024-06-07 15:53:41.059757,2024-06-23 09:01:57.346198,East Hannah,East Sandraview,2024-02-28 17:30:33.956904,47.3032715,-151.086517,False,34,16505,87086,2024-06-02,2024-03-10,67,Truck,87,Jack Williams,001-242-884-4606x232,f376f761-4f0f-473f-8115-784b9e0ad851,cut,9f0f0f05-6efe-4567-855b-32b625d73b49,garden,probably,Lake Michael
Texas,Slovakia (Slovak Republic),PW,Alyssatown,44682,"856 Barbara Knoll Suite 357
East Debra, OK 60801",Brewer-Ortiz,Katherine Bailey,johnny46@example.org,001-294-841-5480,2022-04-29,Emergency planning/management officer,card,green,Seem miss there authority fine.,98.16,45.93,68.15,Richard Hill,"Unit 5615 Box 0567
DPO AA 52904",4663.44,hbass@example.com,995-403-1889x903,Active,2024-02-23,8,28.4,95,Wright-Watson,405e1e8d-2e24-4c5b-aa74-5478844d5318,Market,2024-04-24,78-M365,East Aprilland,North Matthewstad,"-85.6178545,-80.232713","75.6147995,153.246421",2024-07-18 15:38:20.320817,2024-05-09 02:30:05.619935,East John,Higginschester,2024-01-13 12:47:07.670330,-70.417350,138.483855,True,3,70558,24183,2024-06-24,2024-05-27,813,Truck,31,Jeffrey Davidson,899.233.9460,9a4a0f87-0d9a-4f72-acdf-c2fc5903c20f,produce,41e3e176-ec76-4d72-a36a-4ea1b75078c8,society,major,Port Ronaldport
Nevada,Dominica,NY,Port Deborahstad,22170,"67134 Rice Fields
West Michaeltown, DC 91187",Cameron Group,Yolanda Holmes,ewilkerson@example.com,364-392-2417x98649,2020-11-11,Careers information officer,public,share,Store focus term even final college forward.,10.33,5.34,147.32,Gabriela Johnson,"6367 Pace Stream
Sarahstad, UT 12534",4547.89,brobles@example.com,610.556.1774x8290,Inactive,2024-02-05,8,60.1,56,"Wallace, Farrell and Mckinney",1e759821-057f-42c6-9ffd-69c3e6446b3a,Market,2024-03-31,1BV 765,New John,Lake David,"17.4793605,-169.516742","66.5212295,-166.084078",2024-03-29 10:00:21.594166,2024-07-05 17:20:05.354510,South Elizabeth,South Jasonburgh,2024-05-13 13:18:18.311113,-38.1371665,52.611862,True,118,51124,76718,2024-04-05,2024-03-25,847,Bike,64,Lisa Ibarra,(203)498-8316x86134,f81b25b5-8817-4da5-a387-cfe7281642a7,for,7e34f8fb-9024-48cc-add2-6a54220a6cd0,wonder,mouth,Wilcoxberg
Idaho,Taiwan,HI,Lindseyberg,48324,"8968 Alfred Way Apt. 552
Port Joseph, HI 23667","Mccoy, Rodriguez and Ray",Colleen Franklin,jillcarroll@example.com,647.521.9224x96631,2022-05-12,"Merchandiser, retail",whose,everything,Benefit increase direction hair church.,11.11,29.82,116.41,Alyssa Smith,"74233 Vaughn Ramp Suite 075
Port Ryan, SC 78900",3479.18,wmaddox@example.net,562.255.6983x18740,Active,2024-01-05,6,14.21,22,"Griffin, Rodriguez and Washington",76782e83-def2-4635-a190-50833a3986dd,Market,2024-01-21,2GB21,New Ian,Smithtown,"-79.2706535,-169.295271","71.125189,-56.749519",2024-02-04 12:00:03.280657,2024-01-05 05:21:58.175602,Wangmouth,Mendozafurt,2024-01-15 07:22:10.724327,-83.662905,-70.205859,True,23,89233,65666,2024-05-25,2024-03-24,477,Bike,14,Laura Ali,550.461.2509,5f9ad77c-e43e-48f6-8afb-0167e9a17c15,rock,b0c1281b-68e9-4ff7-82fa-16ed76c51ef3,best,war,Tuckerport
South Carolina,Pakistan,SD,Lake Richardview,24997,"698 Wendy Avenue
Marshallview, GA 10129","Pennington, Miller and Williams",Jeffery Austin,rhahn@example.net,(621)551-1452,2024-01-07,Chief Financial Officer,finally,world,Model sound indicate important hundred.,62.15,40.42,66.83,Angela Thompson,"159 Charles Corners
Cartermouth, KS 37233",732.66,henrydiana@example.net,639.657.5498,Inactive,2024-05-26,6,36.74,91,Sanchez Group,337d7d4b-6532-4c17-8491-70e3c9faad3a,Regular,2024-03-21,964-JJX,South Vanessa,Jeremyberg,"76.5556985,71.102160","12.8883365,9.390197",2024-03-01 15:19:55.112620,2024-01-02 11:38:23.485790,New Amberland,Meganfort,2024-03-22 08:20:51.262472,5.869396,65.725326,False,15,59393,38187,2024-03-14,2024-06-27,19,Truck,24,Melissa Morris,001-291-772-8421,899bde6c-59f3-4896-bebe-b4c7ebeccc84,travel,397ecbbe-5511-4e38-b1ce-27c00ada9482,rule,surface,North Heather
Arizona,Mexico,DC,Andersontown,72697,"3532 Stevens Shores
West Patriciaburgh, TX 03793","Sullivan, Hodge and Williams",Edward Peters,ashleelopez@example.com,568-421-1488x561,2020-11-05,Local government officer,administration,full,Turn meet image cup.,98.27,46.28,44.35,David Gibson,"66591 Harris Spring Apt. 636
Taylorstad, AS 11447",4172.46,landrews@example.org,+1-538-603-1296x860,Inactive,2024-03-23,9,86.51,5,Mcmillan Inc,bfdffc0f-6c00-4d69-8d43-b9dc63105847,Regular,2024-05-27,94S X25,Davisberg,West Maria,"-55.5735255,-24.261917","70.724113,-138.220037",2024-01-05 10:57:29.197675,2024-06-28 06:48:54.440768,Jacksonview,Williamsstad,2024-04-19 03:08:55.106439,54.9749965,-30.921694,False,89,90799,49334,2024-05-06,2024-05-09,914,Truck,84,Douglas Jensen,001-768-522-3464x7058,29d664d7-513f-4523-b002-54666b578643,note,415579d1-a6e7-4054-b3e7-f6cd8aa62d3a,him,loss,West Tracyview
Massachusetts,Palau,OK,South Kathleen,57878,"Unit 9676 Box 6635
DPO AE 95073",Parker LLC,Thomas King,kevin46@example.net,635-987-1910x7622,2024-03-13,Quantity surveyor,capital,wish,Public week back. Talk door kitchen amount allow.,98.81,45.46,94.46,Natalie Gardner,"4580 House Circle
Port Timothyshire, WI 13123",2721.12,vvincent@example.org,001-291-548-4140x5934,Active,2024-01-04,1,40.08,49,Day PLC,93c4c9bb-7e69-4779-8843-149d2ed8916d,Market,2024-07-11,DNK-911,Lake Stanley,Lake Williamside,"-51.280004,-144.351131","-86.1760515,57.698352",2024-03-04 22:27:52.110865,2024-01-07 01:07:30.466192,Simsborough,New Reginald,2024-03-06 11:17:35.035982,62.716794,-48.853209,True,90,34093,84486,2024-07-03,2024-07-18,39,Bike,72,Alan Farmer,5328161551,543c7712-2ad0-4fdf-951f-5da4c67a294d,unit,247c1f7d-ce02-497c-9dc1-a62a0f8830be,four,thought,Brownville
